movie_name,year,imdb_rating,genres,director,cast
Lost Dream,2000,5.4,"Adventure, Animation",Rian Johnson,"Amy Adams, Keanu Reeves, Florence Pugh"
Blue Journey Awakens,2017,6.8,Mystery,James Cameron,"Jake Gyllenhaal, Michael B. Jordan, Florence Pugh"
Red Destiny,1995,5.4,"Animation, Crime, Drama",James Cameron,"Jessica Chastain, Anne Hathaway, Scarlett Johansson"
Crimson Trial,2023,5.3,"Action, Horror",Chloe Zhao,"Scarlett Johansson, Viola Davis, Jennifer Lawrence"
Silver Cipher,2008,6.3,"Adventure, Thriller",Steven Spielberg,"Gal Gadot, Chris Hemsworth, Jessica Chastain"
Golden Shadow,2009,7.9,"Horror, Sci-Fi",Guy Ritchie,"Morgan Freeman, Christian Bale, Natalie Portman"
Dark Awakening,2019,8.0,"Animation, Horror",Patty Jenkins,"Robert Downey Jr., Viola Davis, Michael B. Jordan"
Eternal Season,1988,9.0,"Action, Drama",Patty Jenkins,"Robert Downey Jr., Emma Stone, Natalie Portman"
Royal Season Unbound,2014,8.3,"Animation, Crime",David Fincher,"Amy Adams, Florence Pugh, Robert Downey Jr."
Blue Destiny Reborn,2017,8.0,"Action, Adventure, Thriller",Ridley Scott,"Michael B. Jordan, Morgan Freeman, Matt Damon"
Wicked Legacy of Tomorrow,2018,8.9,"Action, Mystery",Rian Johnson,"Amy Adams, Scarlett Johansson, Gal Gadot"
Iron City Reborn,2014,5.8,Thriller,Edgar Wright,"Robert Downey Jr., Zendaya, Jessica Chastain"
Crimson Promise,2017,9.1,"Animation, Drama",Guillermo del Toro,"Morgan Freeman, Florence Pugh, Jessica Chastain"
Silent Awakening,1992,9.2,"Comedy, Crime",Steven Spielberg,"Chris Hemsworth, Keanu Reeves, Timothee Chalamet"
Golden Phoenix,2019,7.3,"Animation, Sci-Fi",Wes Anderson,"Florence Pugh, Morgan Freeman, Robert Downey Jr."
Wicked Chronicle,2019,6.9,"Crime, Thriller",Patty Jenkins,"Gal Gadot, Michael B. Jordan, Christian Bale"
